id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
27378494,SW Ventura Rodriguez-Cozy Studio,133424993,Mariola,,Centro,36.72565,-4.42846,Entire home/apt,40,1,0,,,21,339
27382952,AT-TEATINOS-242- FAMILIA PREMIUM -,159924976,Alberto,,Teatinos-Universidad,36.71929,-4.46113,Entire home/apt,150,5,1,2018-08-20,0.04,4,80
27384102,Apartment Malaga Station,178757313,Jose,,Cruz De Humilladero,36.71308,-4.43536,Entire home/apt,150,3,3,2019-08-11,0.11,2,90
27389054,Habitación en Málaga,42033907,Maria,,Bailen-Miraflores,36.7231,-4.44484,Private room,14,1,18,2020-07-05,0.66,2,53
27392511,Apartamento en la Playa de la Malagueta,206434988,Isabel,,Centro,36.7205,-4.40661,Entire home/apt,60,3,33,2020-08-31,1.22,1,58
27394807,Sky Sea Holidays MALAGA AVE,136554031,SkySea,,Centro,36.71209,-4.42931,Entire home/apt,51,1,4,2020-08-13,0.33,8,278
27397660,Alojamiento Vacacional En Málaga,206207147,Jose,,Teatinos-Universidad,36.71851,-4.47916,Entire home/apt,70,4,4,2019-08-03,0.15,1,302
27401582,Deluxe Supreme Executive Suite,17589912,Antonio / Manuel,,Centro,36.71706,-4.40988,Entire home/apt,150,28,41,2020-04-14,1.57,5,337
27407662,Apartamento Centro Málaga,206553676,Mimosas,,Centro,36.71442,-4.4285,Entire home/apt,45,2,71,2020-10-02,2.65,1,358
27415130,Espectacular Piso 90M Malaga.Cerca De Playa. Wifi,206602437,Francisco,,Carretera de Cadiz,36.70387,-4.44292,Entire home/apt,61,2,17,2020-08-22,0.76,1,0
27426310,Malaga Center 10 minutes from the historic center,144492609,Maurizio,,Centro,36.71964,-4.42877,Private room,28,2,184,2020-10-10,6.76,9,27
27428104,Estudio tres balcones en pleno centro historico,19852107,Alex Y Camille,,Centro,36.72393,-4.41686,Entire home/apt,28,1,112,2020-10-15,4.13,4,88
27432296,Wonderful flat for 4+2 in the hearth of Malaga,105838842,Jean-Luc,,Centro,36.72369,-4.42147,Entire home/apt,49,1,94,2020-10-12,3.44,1,352
27460319,Malaga near the Historical Center train and bus,144492609,Maurizio,,Centro,36.71964,-4.42877,Private room,28,2,165,2020-09-27,6.06,9,27
27464271,Cathedral Apartment,22358804,Pancho,,Centro,36.71985,-4.41963,Entire home/apt,34,2,127,2020-10-08,4.81,2,45
27464365,BED&BEACH Malagueta,64914179,Inés,,Centro,36.71776,-4.41163,Entire home/apt,86,2,49,2020-02-21,1.81,2,180
27472761,Solaga - Teatro,126429738,Steffen,,Centro,36.72445,-4.42061,Entire home/apt,117,1,3,2020-02-16,0.16,56,337
